                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.86468,                 0.7771,                 1.0373,                0.70433,                 0.3181,                0.38677,                0.24726,                 1.5683,                 1.3999,                 1.5034,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.0957,                 1.2259,                 1.1456,                0.66586,                0.31983,                0.39031,                0.24848,                 1.5738,                 1.3971,                 1.5016,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.0631,                 1.1947,                 1.1464,                0.66882,                0.35961,                0.39697,                 0.2565,                 1.5713,                 1.4074,                  1.493,              0.0001211,              0.0001211,              0.0001211
                     93,                 0.9879,                   1.05,                   1.11,                0.90734,                0.35029,                0.41909,                0.27479,                 1.5735,                 1.4438,                 1.4876,              0.0001101,              0.0001101,              0.0001101
                     94,                0.91887,                0.93301,                 1.0289,                0.84659,                0.34476,                0.42302,                0.27092,                 1.5853,                 1.4991,                 1.4944,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.93479,                0.87266,                 1.0392,                0.85468,                0.33229,                0.42658,                0.27418,                 1.5814,                 1.5866,                 1.4936,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.91632,                0.84328,                 1.0177,                   0.87,                0.32384,                0.43212,                0.27484,                 1.5816,                 1.6588,                 1.5059,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.85022,                0.76962,                0.98561,                0.57453,                0.36205,                0.44567,                0.28422,                 1.5824,                 1.7161,                 1.5149,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 0.8144,                0.76343,                 0.9834,                0.58449,                0.35754,                0.44192,                0.28393,                 1.5697,                 1.7278,                 1.5098,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.92914,                0.85219,                 1.0165,                0.87607,                0.33677,                0.45026,                0.28926,                 1.5564,                 1.7385,                 1.5024,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.86317,                0.77197,                0.99711,                0.54538,                0.38188,                  0.454,                0.29379,                 1.5561,                 1.7068,                 1.5044,             3.3108e-05,             3.3108e-05,             3.3108e-05
